id;first_name;last_name;email;phone_number;hire_date;salary;commission_pct
1;Elena;Rangel;Lola.Iglesias75@yahoo.com;repurpose withdrawal;2023-05-17T12:44:43;71697;45464
2;Gerardo;Ordóñez;ngela.Echevarra@gmail.com;withdrawal;2023-05-17T16:41:35;75289;21024
3;Teresa;Sauceda;Agustn.Correa@gmail.com;Sorprendente;2023-05-17T01:44:59;71090;65309
4;Cristina;Collazo;Andrs.Estrada@hotmail.com;reinvent orchestrate;2023-05-16T21:14:36;52820;82484
5;Caridad;Echevarría;Mariano14@hotmail.com;mobile Algodón;2023-05-17T15:52:30;13439;33970
6;Alfonso;Bañuelos;Nicols.Pacheco73@gmail.com;Indonesia herramientas;2023-05-17T00:38:42;64329;13556
7;Jorge Luis;Botello;Caridad72@yahoo.com;Descentralizado rich;2023-05-17T03:08:50;54588;45928
8;Homero;Verduzco;Esteban8@yahoo.com;payment Canarias;2023-05-17T17:12:14;3244;21747
9;Florencia;Sedillo;Santiago_Bustamante98@hotmail.com;Negro;2023-05-17T08:32:53;90189;81327
10;Agustín;Rael;Felipe79@gmail.com;Mesa Andalucía Checking;2023-05-16T21:13:03;32637;8639
